SNo,LGD State Code,LGD State Name,LGD District Code,LGD District Name,Census 2001 Code,Census 2011 Code,comment
102,10,Bihar,199,Jehanabad,33,239,
356,23,Madhya Pradesh,412,Jhabua,24,464,
215,6,Haryana,64,Jhajjar,15,083,
564,8,Rajasthan,105,Jhalawar,32,129,
727,9,Uttar Pradesh,153,Jhansi,36,166,
772,19,West Bengal,703,Jhargram,15,344,"Jhargram district in West Bengal, India was formed on April 4, 2017, by splitting from the Paschim Medinipur district"
493,21,Odisha,357,Jharsuguda,02,371,
565,8,Rajasthan,106,Jhunjhunu,05,103,
216,6,Haryana,65,Jind,09,077,
430,14,Manipur,713,Jiribam,07,278,Jiribam from Imphal East districts.
566,8,Rajasthan,107,Jodhpur,15,113,
567,8,Rajasthan,778,Jodhpur (Gramin),15,113," Jodhpur Gramin district was formed from the old Jodhpur district in Rajasthan, India on August 7, 2023."
638,36,Telangana,695,Jogulamba Gadwal,07,538,"Jogulamba Gadwal district was formed from the Mahabubnagar district in Telangana, India on October 11, 2016."
72,18,Assam,290,Jorhat,17,312,
190,24,Gujarat,448,Junagadh,12,479,
143,22,Chhattisgarh,382,Kabeerdham,08,407,Name changed from Kawardha to Kabirdham
191,24,Gujarat,449,Kachchh,01,468,
103,10,Bihar,200,Kaimur (Bhabua),31,233,
217,6,Haryana,66,Kaithal,05,073,
431,14,Manipur,711,Kakching,05,276,Kakching has been carved out of the erstwhile Thoubal district.
14,28,Andhra Pradesh,746,Kakinada,14,545,"The District is a newly formed district, getting divided from Erstwhile East Godavari District, as per District Reorganization Act,2022."
302,29,Karnataka,538,Kalaburagi,04,579,Name changed it from Gulbarga
494,21,Odisha,358,Kalahandi,26,395,
773,19,West Bengal,702,Kalimpong,01,327,"Kalimpong district was formed on February 14, 2017, when it split from the Darjeeling district to become the 21st district of West Bengal. "
601,33,Tamil Nadu,729,Kallakurichi,07,607,"Kallakurichi district was formed from the bifurcation of the Viluppuram district in Tamil Nadu, India:"
639,36,Telangana,685,Kamareddy,02,533,"Kamareddy district was formed from the residual Nizamabad district on October 11, 2016."
432,14,Manipur,717,Kamjong,08,279, Kampong from Ukhrul
35,12,Arunachal Pradesh,718,Kamle,multiple ,multiple,"On 4 December 2017, a new district called Kamle district was created from Lower Subansiri District and Upper Subansiri District"
73,18,Assam,291,Kamrup,06,321,
74,18,Assam,618,Kamrup Metro,06,322,
602,33,Tamil Nadu,574,Kancheepuram,03,604,
495,21,Odisha,359,Kandhamal,21,390,
433,14,Manipur,712,Kangpokpi,01,272,It was formed from three sub-divisions of Senapati District: 
233,2,Himachal Pradesh,18,Kangra,02,024,
728,9,Uttar Pradesh,155,Kannauj,30,160,
603,33,Tamil Nadu,575,Kanniyakumari,30,629,
320,32,Kerala,557,Kannur,02,589,
729,9,Uttar Pradesh,156,Kanpur Dehat,33,163,
730,9,Uttar Pradesh,157,Kanpur Nagar,34,164,
524,3,Punjab,35,Kapurthala,03,036,
510,34,Puducherry,598,Karaikal,04,637,
568,8,Rajasthan,108,Karauli,09,107,
75,18,Assam,292,Karbi Anglong,19,314,
331,37,Ladakh,6,Kargil,08,004,
76,18,Assam,293,Karimganj,22,317,
640,36,Telangana,508,Karimnagar,03,534,
218,6,Haryana,67,Karnal,06,074,
604,33,Tamil Nadu,576,Karur,14,613,
321,32,Kerala,558,Kasaragod,01,588,
731,9,Uttar Pradesh,633,Kasganj,71,202,Previously known as Kanshiram Nagar
249,1,Jammu And Kashmir,7,Kathua,14,007,
104,10,Bihar,201,Katihar,10,212,
357,23,Madhya Pradesh,413,Katni,38,450,
732,9,Uttar Pradesh,158,Kaushambi,44,174,
569,8,Rajasthan,781,Kekri,multiple ,multiple,Kekri is a new district in Rajasthan that was formed from parts of the Ajmer and Tonk districts
496,21,Odisha,360,Kendrapara,10,379,
497,21,Odisha,361,Kendujhar,06,375,
105,10,Bihar,202,Khagaria,21,223,
144,22,Chhattisgarh,759,Khairagarh-Chhuikhadan-Gandai,09,408,"It was created by separating from the Rajnandgaon district and became the 31st district in the state. 
"
570,8,Rajasthan,770,Khairthal-Tijara,06,104,"The Khairthal-Tijara district was created on August 4, 2023, when the Alwar district was reorganized "
641,36,Telangana,509,Khammam,10,541,
358,23,Madhya Pradesh,405,Khandwa (East Nimar),29,466,
359,23,Madhya Pradesh,414,Khargone (West Nimar),27,440,
456,15,Mizoram,728,Khawzawl,04,284,Khawzawl District was created from Champhai District in 2008 but non functional till 2019.
192,24,Gujarat,450,Kheda,16,483,
733,9,Uttar Pradesh,159,Kheri,23,153,
498,21,Odisha,362,Khordha,17,386,
669,16,Tripura,652,Khowai,01,289,The district was carved out of West Tripura district along with new Sipahijala district
274,20,Jharkhand,606,Khunti,14,365,
234,2,Himachal Pradesh,19,Kinnaur,12,034,
466,13,Nagaland,614,Kiphire,02,269,
106,10,Bihar,203,Kishanganj,08,210,
250,1,Jammu And Kashmir,620,Kishtwar,09,018,
303,29,Karnataka,541,Kodagu,25,576,
275,20,Jharkhand,334,Koderma,05,348,
467,13,Nagaland,245,Kohima,07,270,
77,18,Assam,294,Kokrajhar,01,300,
304,29,Karnataka,542,Kolar,19,581,
457,15,Mizoram,263,Kolasib,02,282,
404,27,Maharashtra,480,Kolhapur,34,530,
774,19,West Bengal,315,Kolkata,17,342,
322,32,Kerala,559,Kollam,13,600,
145,22,Chhattisgarh,643,Kondagaon,15,414,"The district of Kondagaon in Chhattisgarh, India was formed on January 24, 2012, when it was separated from the Bastar district"
305,29,Karnataka,543,Koppal,07,560,
499,21,Odisha,363,Koraput,29,398,
146,22,Chhattisgarh,383,Korba,05,404,
147,22,Chhattisgarh,384,Korea,01,400,
571,8,Rajasthan,109,Kota,30,127,
572,8,Rajasthan,782,Kotputli-Behror,multiple ,multiple,"Kotputli-Behror district was formed by combining parts of the Jaipur and Alwar districts in Rajasthan, India."
323,32,Kerala,560,Kottayam,10,597,
324,32,Kerala,561,Kozhikode,04,591,
36,12,Arunachal Pradesh,677,Kra Daadi,14,256,It was created from the Kurung Kumey district
15,28,Andhra Pradesh,510,Krishna,16,547,
605,33,Tamil Nadu,577,Krishnagiri,05,631,Carved out of Dharmapuri
251,1,Jammu And Kashmir,622,Kulgam,06,015,
235,2,Himachal Pradesh,20,Kullu,04,026,
642,36,Telangana,699,Kumuram Bheem Asifabad,01,532," Kumuram Bheem Asifabad district in Telangana, India was formed in 2016 from the Adilabad district"
252,1,Jammu And Kashmir,8,Kupwara,01,001,
16,28,Andhra Pradesh,511,Kurnool,21,552,
219,6,Haryana,68,Kurukshetra,04,072,
37,12,Arunachal Pradesh,233,Kurung Kumey,14,256,
734,9,Uttar Pradesh,160,Kushinagar,59,189,
236,2,Himachal Pradesh,21,Lahaul And Spiti,03,025,
78,18,Assam,295,Lakhimpur,12,307,
107,10,Bihar,204,Lakhisarai,25,227,
333,31,Lakshadweep,553,Lakshadweep District,01,587,
735,9,Uttar Pradesh,161,Lalitpur,37,167,
276,20,Jharkhand,335,Latehar,02,359,
405,27,Maharashtra,481,Latur,28,524,
458,15,Mizoram,264,Lawngtlai,07,287,
332,37,Ladakh,9,Leh Ladakh,07,003,
38,12,Arunachal Pradesh,724,Leparada,07,250,created from the West Siang district by bifurcating its southern areas along Assam border into a new district.
277,20,Jharkhand,336,Lohardaga,15,356,
39,12,Arunachal Pradesh,234,Lohit,11,259,
40,12,Arunachal Pradesh,666,Longding,13,254,The Longding district became a full-fledged district after bifurcating from Tirap district on 19th March 2012.
468,13,Nagaland,615,Longleng,02,268,
41,12,Arunachal Pradesh,235,Lower Dibang Valley,15,258,
42,12,Arunachal Pradesh,719,Lower Siang,multiple ,multiple,Its territory was carved out of West Siang and East Siang districts.
43,12,Arunachal Pradesh,236,Lower Subansiri,05,255,
736,9,Uttar Pradesh,162,Lucknow,27,157,
525,3,Punjab,36,Ludhiana,09,041,
459,15,Mizoram,265,Lunglei,06,286,
108,10,Bihar,205,Madhepura,11,213,
109,10,Bihar,206,Madhubani,05,207,
606,33,Tamil Nadu,578,Madurai,24,623,
643,36,Telangana,688,Mahabubabad,09,540,"The Mahabubabad district in Telangana, India was formed on October 11, 2016, when it was carved out of the erstwhile Warangal district."
644,36,Telangana,512,Mahabubnagar,07,538,
148,22,Chhattisgarh,385,Mahasamund,12,411,
511,34,Puducherry,599,Mahe,03,636,
220,6,Haryana,69,Mahendragarh,16,084,
193,24,Gujarat,451,Mahesana,04,471,
194,24,Gujarat,669,Mahisagar,multiple ,multiple,"It was carved out of the Panchmahal and Kheda districts, "
737,9,Uttar Pradesh,165,Mahoba,39,169,
738,9,Uttar Pradesh,164,Mahrajganj,57,187,
360,23,Madhya Pradesh,784,Maihar,13,429,t was created by separating from the Satna district and is the 55th district in the state.
739,9,Uttar Pradesh,166,Mainpuri,18,148,
79,18,Assam,706,Majuli,17,312,Majuli carved out of the Northern parts of Jorhat is the first river island district of India.
325,32,Kerala,562,Malappuram,05,592,
775,19,West Bengal,316,Malda,06,332,
526,3,Punjab,737,Malerkotla,16,053,"Malerkotla district was formed from the Sangrur district in Punjab, India on May 14, 2021"
500,21,Odisha,364,Malkangiri,30,399,
460,15,Mizoram,266,Mamit,01,281,
645,36,Telangana,684,Mancherial,01,532,"Mancherial district was formed in 2016 when the Adilabad district was reorganized, creating four districts in total"
237,2,Himachal Pradesh,22,Mandi,05,027,
361,23,Madhya Pradesh,415,Mandla,42,454,
362,23,Madhya Pradesh,416,Mandsaur,19,433,
306,29,Karnataka,544,Mandya,22,573,
149,22,Chhattisgarh,760,Manendragarh-Chirmiri-Bharatpur(M C B),01,400," on September 9, 2022, as the 32nd district in the state. It was created by splitting the Korea district. "
589,11,Sikkim,226,Mangan,01,241,Formerly North district
527,3,Punjab,37,Mansa,15,047,
80,18,Assam,296,Marigaon,09,304,
740,9,Uttar Pradesh,167,Mathura,14,145,
741,9,Uttar Pradesh,168,Mau,62,192,
363,23,Madhya Pradesh,766,MAUGANJ,14,430,"Mauganj is a new district in Madhya Pradesh that was created on August 15, 2023, when it was separated from the Rewa district. "
607,33,Tamil Nadu,735,Mayiladuthurai,19,618,"Mayiladuthurai was formed from the Nagapattinam district in Tamil Nadu, India on December 28, 2020"
501,21,Odisha,365,Mayurbhanj,07,376,
646,36,Telangana,513,Medak,04,535,
647,36,Telangana,700,Medchal Malkajgiri,06,537,The Medchal-Malkajgiri district was created in 2014 when the Rangareddy district was reorganized to form the new Vikarabad district and Medchal-Malkajgiri district
742,9,Uttar Pradesh,169,Meerut,07,138,
743,9,Uttar Pradesh,170,Mirzapur,69,199,
528,3,Punjab,38,Moga,10,042,
150,22,Chhattisgarh,761,Mohla-Manpur-Ambagarh Chouki,09,408,"The Mohla-Manpur-Ambagarh Chowki district was formed on September 2, 2022, when it was split from the Rajnandgaon district in the state of Chhattisgarh"
469,13,Nagaland,246,Mokokchung,03,262,
470,13,Nagaland,247,Mon,01,261,
744,9,Uttar Pradesh,171,Moradabad,04,135,
195,24,Gujarat,673,Morbi,multiple ,multiple," The district was created from parts of the Rajkot, Surendranagar, and Jamnagar districts. "
364,23,Madhya Pradesh,417,Morena,02,419,
648,36,Telangana,720,Mulugu,09,540,"The Mulugu district in Telangana, India was created in 2019 when the Jayashankar Bhupalpally district was split. Before this, Mulugu was part of the Warangal district."
406,27,Maharashtra,482,Mumbai,23,519,
407,27,Maharashtra,483,Mumbai Suburban,22,518,
151,22,Chhattisgarh,647,Mungeli,07,406,"Mungeli district was formed in January 2012, when it was carved out of Bilaspur district in Chhattisgarh."
110,10,Bihar,207,Munger,24,226,
776,19,West Bengal,319,Murshidabad,07,333,
745,9,Uttar Pradesh,172,Muzaffarnagar,02,133,
111,10,Bihar,208,Muzaffarpur,14,216,
307,29,Karnataka,545,Mysuru,26,577,
502,21,Odisha,366,Nabarangpur,28,397,
777,19,West Bengal,320,Nadia,10,336,
81,18,Assam,297,Nagaon,10,305,
608,33,Tamil Nadu,579,Nagapattinam,19,618,
649,36,Telangana,694,Nagarkurnool,07,538,"Nagarkurnool district was formed on October 11, 2016 from the Mahbubnagar district in the state of Telangana, India."
573,8,Rajasthan,110,Nagaur,14,112,
408,27,Maharashtra,484,Nagpur,09,505,
681,5,Uttarakhand,51,Nainital,11,066,
112,10,Bihar,209,Nalanda,27,229,
82,18,Assam,298,Nalbari,07,323,
650,36,Telangana,514,Nalgonda,08,539,
609,33,Tamil Nadu,580,Namakkal,09,609,
590,11,Sikkim,227,Namchi,03,243,Formerly South district
44,12,Arunachal Pradesh,678,Namsai,11,259,"Namsai is a district in Arunachal Pradesh, India that was formed in 2014 when the Lohit district was bifurcated for the third time"
409,27,Maharashtra,485,Nanded,15,511,
410,27,Maharashtra,486,Nandurbar,01,497,
17,28,Andhra Pradesh,755,Nandyal,21,552," It was created from parts of the Kurnool district,"
651,36,Telangana,721,Narayanpet,07,538," Narayanpet district was formed from the Mahabubnagar district in the state of Telangana, India in 2019:"
152,22,Chhattisgarh,637,Narayanpur,15,415,
196,24,Gujarat,452,Narmada,20,487,
365,23,Madhya Pradesh,409,Narmadapuram,37,449,Name changed from Hosahngabad to Narmadapuram
366,23,Madhya Pradesh,418,Narsimhapur,40,452,
411,27,Maharashtra,487,Nashik,20,516,
197,24,Gujarat,453,Navsari,24,490,
113,10,Bihar,210,Nawada,36,237,
503,21,Odisha,367,Nayagarh,16,385,
574,8,Rajasthan,773,Neem Ka Thana,multiple ,multiple,Neem Ka Thana district was formed in July 2023 from parts of the Sikar and Jhunjhunu districts in Rajasthan
367,23,Madhya Pradesh,419,Neemuch,18,432,
164,7,Delhi,79,New Delhi,05,094,
1,35,Andaman And Nicobar Islands,603,Nicobars,02,638,
652,36,Telangana,680,Nirmal,01,532,"Nirmal district was formed from the erstwhile Adilabad district in Telangana, India in 2016."
471,13,Nagaland,764,Niuland,06,265,"The Niuland District was formed from the Dimapur District in Nagaland on December 18, 2021"
368,23,Madhya Pradesh,722,Niwari,08,424,"Niwari became the 52nd district of Madhya Pradesh on October 1, 2018, when it was separated from Tikamgarh district."
653,36,Telangana,516,Nizamabad,02,533,
472,13,Nagaland,736,Noklak,02,267,"Noklak was carved out of the Tuensang district to become the 12th district of Nagaland in India on December 21, 2017."
434,14,Manipur,714,Noney,01,272,Kangpokpi from Senapati
165,7,Delhi,80,North,02,091,
778,19,West Bengal,303,North 24 Parganas,11,337,
2,35,Andaman And Nicobar Islands,632,North And Middle Andaman,01,639,
166,7,Delhi,81,North East,03,092,
445,17,Meghalaya,656,North Garo Hills,02,294,"July 27, 2012, when it was carved out of the East Garo Hills district."
173,30,Goa,551,North Goa,01,585,
670,16,Tripura,270,North Tripura,04,292,
167,7,Delhi,82,North West,01,090,
18,28,Andhra Pradesh,749,Ntr,16,547,Split from Krishna district
504,21,Odisha,368,Nuapada,25,394,
221,6,Haryana,604,Nuh,18,087,Name changed from Mewat to Nuh district
45,12,Arunachal Pradesh,723,Pakke Kessang,03,247,"The district used to be a part of the neighboring district, East Kameng"
278,20,Jharkhand,337,Pakur,10,353,
591,11,Sikkim,741,Pakyong,04,244,"The Pakyong district in Sikkim, India was created in 2021 from three subdivisions of the former East Sikkim district"
326,32,Kerala,563,Palakkad,06,593,
279,20,Jharkhand,338,Palamu,02,358,
412,27,Maharashtra,665,Palghar,21,517,"Palghar was formed as the 36th district of Maharashtra on August 1, 2014, when it was carved out of the Thane district"
575,8,Rajasthan,111,Pali,20,118,
19,28,Andhra Pradesh,751,Palnadu,17,548,"formed on April 4, 2022, as a result of the division of the Guntur district into three districts:"
222,6,Haryana,619,Palwal,19,089,
198,24,Gujarat,454,Panch Mahals,17,484,
223,6,Haryana,70,Panchkula,01,069,
369,23,Madhya Pradesh,785,Pandhurna,43,455,"Pandhurna is a new district in Madhya Pradesh, India that was formed in 2023 by merging parts of the Chhindwara district"
224,6,Haryana,71,Panipat,07,075,
370,23,Madhya Pradesh,420,Panna,10,426,
46,12,Arunachal Pradesh,237,Papum Pare,4,248,
413,27,Maharashtra,489,Parbhani,17,513,
20,28,Andhra Pradesh,743,Parvathipuram Manyam,multiple ,multiple,The district was formed by merging parts of the neighboring Vizianagaram and Srikakulam districts
779,19,West Bengal,704,Paschim Bardhaman,09,335,"Paschim Bardhaman was formed on April 7, 2017, when the Bardhaman district was split into two districts, Paschim Bardhaman and Purba Bardhaman."
780,19,West Bengal,318,Paschim Medinipur,15,344,
114,10,Bihar,211,Pashchim Champaran,01,203,
199,24,Gujarat,455,Patan,03,470,
327,32,Kerala,564,Pathanamthitta,12,599,
529,3,Punjab,662,Pathankot,01,035,"The Pathankot district was formed on July 27, 2011, when the Government of Punjab carved it out of the Gurdaspur district. "
530,3,Punjab,41,Patiala,17,048,
115,10,Bihar,212,Patna,28,230,
682,5,Uttarakhand,52,Pauri Garhwal,06,061,referred to as Garhwal
654,36,Telangana,682,Peddapalli,03,534,Peddapalli district was formed in 2016 from the Karimnagar district as part of a reorganization of districts in Telangana
610,33,Tamil Nadu,581,Perambalur,16,615,
473,13,Nagaland,613,Peren,07,271,
576,8,Rajasthan,772,Phalodi,15,113,"The Phalodi district was established on August 7, 2023, and was carved out of the Jodhpur district"
474,13,Nagaland,248,Phek,08,266,
435,14,Manipur,715,Pherzawl,03,274,Pherzawl from Churachandpur
746,9,Uttar Pradesh,173,Pilibhit,21,151,
683,5,Uttarakhand,53,Pithoragarh,07,062,
512,34,Puducherry,600,Pondicherry,02,635,
253,1,Jammu And Kashmir,10,Poonch,11,005,
200,24,Gujarat,456,Porbandar,11,478,
21,28,Andhra Pradesh,517,Prakasam,18,549,
577,8,Rajasthan,629,Pratapgarh,multiple ,131," Created on 26 January 2008, carved out from the erstwhile tehsils of Chittorgarh, Udaipur and Banswara districts"
747,9,Uttar Pradesh,174,Pratapgarh,43,173,
748,9,Uttar Pradesh,120,Prayagraj,45,175,Allahabad name changed to Prayagraj
611,33,Tamil Nadu,582,Pudukkottai,22,621,
254,1,Jammu And Kashmir,11,Pulwama,05,012,
414,27,Maharashtra,490,Pune,25,521,
781,19,West Bengal,306,Purba Bardhaman,09,335,
782,19,West Bengal,317,Purba Medinipur,15,345,
116,10,Bihar,213,Purbi Champaran,02,204,
505,21,Odisha,369,Puri,18,387,
117,10,Bihar,214,Purnia,09,211,
783,19,West Bengal,321,Purulia,14,340,
749,9,Uttar Pradesh,175,Rae Bareli,28,158,
308,29,Karnataka,546,Raichur,06,559,
415,27,Maharashtra,491,Raigad,24,520,
153,22,Chhattisgarh,386,Raigarh,04,403,
154,22,Chhattisgarh,387,Raipur,11,410,
371,23,Madhya Pradesh,421,Raisen,34,446,
655,36,Telangana,683,Rajanna Sircilla,03,534,"The Rajanna Sircilla district was formed in Telangana, India on October 11, 2016, when it was carved out of the erstwhile Karimnagar district"
372,23,Madhya Pradesh,422,Rajgarh,30,442,
201,24,Gujarat,457,Rajkot,09,476,
155,22,Chhattisgarh,388,Rajnandgaon,09,408,
255,1,Jammu And Kashmir,12,Rajouri,12,006,
578,8,Rajasthan,112,Rajsamand,25,123,
309,29,Karnataka,631,Ramanagara,21,584,
612,33,Tamil Nadu,583,Ramanathapuram,27,626,
256,1,Jammu And Kashmir,621,Ramban,09,017,
280,20,Jharkhand,607,Ramgarh,04,361,
750,9,Uttar Pradesh,176,Rampur,05,136,
281,20,Jharkhand,339,Ranchi,14,364,
656,36,Telangana,518,Ranga Reddy,06,537,
613,33,Tamil Nadu,731,Ranipet,04,605,"Ranipet district was formed by splitting the Vellore district in Tamil Nadu, India in 2019"
373,23,Madhya Pradesh,423,Ratlam,20,434,
416,27,Maharashtra,492,Ratnagiri,32,528,
506,21,Odisha,370,Rayagada,27,396,
257,1,Jammu And Kashmir,627,Reasi,10,020,
374,23,Madhya Pradesh,424,Rewa,14,430,
225,6,Haryana,72,Rewari,17,085,
446,17,Meghalaya,276,Ri Bhoi,05,297,
226,6,Haryana,73,Rohtak,14,082,
118,10,Bihar,215,Rohtas,32,234,
684,5,Uttarakhand,54,Rudra Prayag,3,058,
531,3,Punjab,42,Rupnagar,07,051,
202,24,Gujarat,458,Sabar Kantha,05,472,
375,23,Madhya Pradesh,425,Sagar,11,427,
751,9,Uttar Pradesh,177,Saharanpur,01,132,
119,10,Bihar,216,Saharsa,12,214,
282,20,Jharkhand,340,Sahebganj,09,352,
461,15,Mizoram,727,Saitual,multiple ,multiple,"The Saitual district in Mizoram, India was formed from the existing administrative districts of Aizawl and Champhai"
156,22,Chhattisgarh,762,Sakti,06,405,The district was created by merging four blocks from the Janjgir-Champa district: 
614,33,Tamil Nadu,584,Salem,08,608,
579,8,Rajasthan,777,Salumbar,26,130,"Salumbar is a new district that was carved out of the erstwhile Udaipur district in Rajasthan on August 7, 2023."
120,10,Bihar,217,Samastipur,19,221,
258,1,Jammu And Kashmir,624,Samba,multiple ,022,"Created on October 27, 2006, formed from an area that was part of Jammu district and Kathua district"
507,21,Odisha,371,Sambalpur,03,372,
752,9,Uttar Pradesh,659,Sambhal,multiple ,multiple,Sambhal District at the time of creation was made from Two Tehsils of Moradabad District and one Tehsil of Gunnaur from Badaun District 
580,8,Rajasthan,779,Sanchore,18,116," Sanchore district was formed on August 7, 2023, when it separated from the Jalore district to become one of 19 new districts in Rajasthan. "
657,36,Telangana,691,Sangareddy,04,535,"the Sangareddy district in Telangana, India was carved out of the former Medak district"
417,27,Maharashtra,493,Sangli,35,531,
532,3,Punjab,43,Sangrur,16,053,
